"","NDVI"
"1112",6886
"1113",6237
"1114",7739
"1115",7800
"1116",7277
"1117",6630
"1118",6901
"1119",7707
"1120",6850
"1121",7340
"1122",6331
"1123",7332
"1124",7673
"1125",7386
"1126",6118
"1127",6724
"1128",8052
"1129",6582
"1130",7296
"1131",7915
"1132",6696
"1133",6725
"1134",8213
"1135",6789
"1136",8056
"1137",8022
"1138",8123
"1139",7941
"1140",8169
"1141",7384
"1142",7953
"1143",7725
"1144",7396
"1145",7456
"1146",7437
"1147",8022
"1148",7864
"1149",8228
"1150",7852
"1151",8246
"1152",7907
"1153",8250
"1154",7877
"1155",7573
"1156",7975
"1157",7997
"1158",7711
"1159",7598
"1160",7215
"1161",7568
"1162",7518
"1163",7995
"1164",7847
"1165",7901
"1166",8046
"1167",7956
"1168",7839
"1169",7337
"1170",8442
"1171",7740
"1172",7045
"1173",7634
"1174",7969
"1175",6940
"1176",7680
"1177",7947
"1178",8078
"1179",8032
"1180",8005
"1181",7015
"1182",8152
"1183",8194
"1184",6240
"1185",8217
"1186",7997
"1187",7318
"1188",8007
"1189",7765
"1190",7198
"1191",7635
"1192",7398
"1193",7935
"1194",7245
"1195",8060
"1196",7876
"1197",7958
"1198",7139
"1199",8082
"1200",8063
"1201",5981
"1202",6891
"1203",7909
"1204",8192
"1205",6837
"1206",7052
"1207",6807
"1208",7024
"1209",6535
"1210",7047
"1211",7979
"1212",7308
"1213",6875
"1214",7188
"1215",6843
"1216",7041
"1217",6379
"1218",7656
"1219",7472
"1220",7887
"1221",7496
"1222",7610
"1223",7863
"1224",7567
"1225",7136
"1226",8128
"1227",7128
"1228",6500
"1229",6741
"1230",8010
"1231",6766
"1232",7610
"1233",6945
"1234",7218
"1235",8056
"1236",7402
"1237",6635
"1238",6882
"1239",7835
"1240",6673
"1241",7959
"1242",6932
"1243",6348
"1244",6866
"1245",7774
"1246",7466
"1247",7068
"1248",6662
"1249",6320
"1250",6337
"1251",7384
"1252",7979
"1253",7793
"1254",6744
"1255",6503
"1256",7111
"1257",6631
"1258",6833
"1259",6676
"1260",6740
"1261",7088
"1262",7233
"1263",7481
"1264",6894
"1265",7627
"1266",6956
"1267",7104
"1268",6489
"1269",7881
"1270",7354
"1271",6764
"1272",6866
"1273",7140
"1274",6821
"1275",7155
"1276",7800
"1277",7962
"1278",7663
"1279",6663
"1280",7074
"1281",6903
"1282",5881
"1283",6974
"1284",6905
"1285",7658
"1286",7948
"1287",7854
"1288",7156
"1289",6865
"1290",7303
"1291",6638
"1292",7384
"1293",7294
"1294",7796
"1295",7551
"1296",7351
"1297",7051
"1298",6510
"1299",7588
"1300",7492
"1301",7310
"1302",7169
"1303",6719
"1304",6854
"1305",6780
"1306",7438
"1307",8005
"1308",7010
"1309",6662
"1310",7663
"1311",7200
"1312",6862
"1313",6206
"1314",7166
"1315",7510
"1316",7621
"1317",6983
"1318",6832
"1319",7423
"1320",7448
"1321",7488
"1322",8080
"1323",6641
"1324",6335
"1325",6702
"1326",7128
"1327",7602
"1328",7862
"1329",7521
"1330",7574
"1331",7427
"1332",7164
"1333",7408
"1334",7842
"1335",7837
"1336",7828
"1337",7472
"1338",7481
"1339",7461
"1340",7215
"1341",7758
"1342",7636
"1343",6151
"1344",5531
"1345",7840
"1346",7621
"1347",7608
"1348",7621
"1349",8078
"1350",8177
"1351",7637
"1352",7655
"1353",8169
"1354",7955
"1355",7384
"1356",6644
"1357",7969
"1358",7903
"1359",7868
"1360",7761
"1361",7866
"1362",8050
"1363",8101
"1364",7584
"1365",7652
"1366",7848
"1367",7761
"1368",7333
"1369",8083
"1370",7484
"1371",7628
"1372",7770
"1373",7554
"1374",7563
"1375",6613
"1376",7515
"1377",7940
"1378",7239
"1379",7663
"1380",7636
"1381",6927
"1382",7524
"1383",6572
"1384",7868
"1385",8141
"1386",7104
"1387",7195
"1388",7649
"1389",7785
"1390",7519
"1391",7300
"1392",7400
"1393",7188
"1394",6797
"1395",7211
"1396",6902
"1397",7061
"1398",7375
"1399",7733
"1400",7015
"1401",6946
"1402",7917
"1403",7688
"1404",7595
"1405",7550
"1406",7512
"1407",7849
"1408",6898
"1409",7810
"1410",7167
"1411",8255
"1412",8344
"1413",7240
"1414",6781
"1415",7506
"1416",8138
"1417",8288
"1418",7346
"1419",8274
"1420",7944
"1421",7365
"1422",7843
"1423",7862
"1424",7609
"1425",7295
"1426",7277
"1427",7544
"1428",6979
"1429",6606
"1430",8011
"1431",7544
"1432",7880
"1433",7232
"1434",7313
"1435",8104
"1436",7010
"1437",7684
"1438",6894
"1439",7559
"1440",7487
"1441",7425
"1442",6878
"1443",6694
"1444",7451
"1445",7600
"1446",7638
"1447",7348
"1448",6897
"1449",7568
"1450",7925
"1451",7333
"1452",8174
"1453",7539
"1454",7911
"1455",7057
"1456",7012
"1457",7121
"1458",7048
"1459",7171
"1460",7423
"1461",7193
"1462",7484
"1463",6888
"1464",6715
"1465",7578
"1466",7597
"1467",6574
"1468",7086
"1469",7597
"1470",7873
"1471",7086
"1472",8074
"1473",7331
"1474",7010
"1475",7171
"1476",7327
"1477",7570
"1478",7171
"1479",7818
"1480",7379
"1481",7581
"1482",7305
"1483",7240
"1484",7110
"1485",7713
"1486",7583
"1487",7116
"1488",7321
"1489",7577
"1490",7723
"1491",7622
"1492",7668
"1493",7945
"1494",6847
"1495",7406
"1496",7553
"1497",7282
"1498",7592
"1499",7645
"1500",7709
"1501",7175
"1502",7047
"1503",7773
"1504",7885
"1505",7302
"1506",7419
"1507",7740
"1508",7721
"1509",7861
"1510",7721
"1511",7672
"1512",7656
"1513",7326
"1514",7700
"1515",7647
"1516",7674
"1517",7325
"1518",7672
"1519",7549
"1520",7641
"1521",7437
"1522",7257
"1523",7619
"1524",7867
"1525",6550
"1526",7557
"1527",7858
"1528",8176
"1529",7835
"1530",7705
"1531",7663
"1532",7793
"1533",7835
"1534",6717
"1535",7425
"1536",7322
"1537",7325
"1538",7662
"1539",7619
"1540",8372
"1541",7994
"1542",7944
"1543",7342
"1544",7678
"1545",7625
"1546",7545
"1547",7529
"1548",7911
"1549",7578
"1550",7467
"1551",6964
"1552",7446
"1553",7488
"1554",7497
"1555",7594
"1556",7638
"1557",7727
"1558",7706
"1559",7640
"1560",7674
"1561",8152
"1562",7670
"1563",7624
"1564",7716
"1565",7453
"1566",7715
"1567",7494
"1568",7586
"1569",6905
"1570",7095
"1571",7692
"1572",7974
"1573",7524
"1574",7335
"1575",7524
"1576",7617
"1577",7203
"1578",7331
"1579",7795
"1580",8255
"1581",7778
"1582",7608
"1583",7505
"1584",7888
"1585",7560
"1586",7403
"1587",7664
"1588",7606
"1589",7024
"1590",7618
"1591",7032
"1592",7538
"1593",7553
"1594",7589
"1595",7847
"1596",7724
"1597",6108
"1598",7912
"1599",8162
"1600",7449
"1601",6835
"1602",7474
"1603",7576
"1604",7267
"1605",7661
"1606",8023
"1607",6925
"1608",6541
"1609",7515
"1610",7505
"1611",8023
"1612",7939
"1613",7370
"1614",7546
"1615",7513
"1616",7282
"1617",7942
"1618",7468
"1619",6577
"1620",8141
"1621",7737
"1622",7417
"1623",7574
"1624",7657
"1625",7654
"1626",7376
"1627",4668
"1628",8058
"1629",6714
"1630",7531
"1631",7727
"1632",7995
"1633",7515
"1634",7545
"1635",7888
"1636",7615
"1637",7377
"1638",7754
"1639",7652
"1640",6800
"1641",7447
"1642",7142
"1643",7742
"1644",7551
"1645",7655
"1646",6102
"1647",8464
"1648",7876
"1649",7022
"1650",6763
"1651",7426
"1652",7362
"1653",8245
"1654",7832
"1655",7748
"1656",7869
"1657",6910
"1658",7403
"1659",7547
"1660",7977
"1661",7665
"1662",8097
"1663",7614
"1664",6583
"1665",7612
"1666",7947
"1667",7077
"1668",7888
"1669",6763
"1670",6622
"1671",6441
"1672",7618
"1673",6197
"1674",8023
"1675",8308
"1676",7917
"1677",7848
"1678",7709
"1679",7618
"1680",7632
"1681",7685
"1682",6939
"1683",8251
"1684",7490
"1685",7634
"1686",7828
"1687",7312
"1688",7362
"1689",7618
"1690",7714
"1691",7626
"1692",8160
"1693",7803
"1694",6446
"1695",7964
"1696",6489
"1697",7463
"1698",7845
"1699",7360
"1700",7472
"1701",7276
"1702",6478
"1703",7553
"1704",7649
"1705",6642
"1706",7451
"1707",8040
"1708",7471
"1709",7197
"1710",7172
"1711",7638
"1712",8057
"1713",7081
"1714",7353
"1715",7382
"1716",7942
"1717",6990
"1718",6846
"1719",7588
"1720",7462
"1721",8115
"1722",7303
"1723",7431
"1724",7951
"1725",6807
"1726",7616
"1727",8003
"1728",6866
"1729",7865
"1730",6997
"1731",7472
"1732",7203
"1733",7010
"1734",6573
"1735",7030
"1736",7178
"1737",6558
"1738",7504
"1739",8199
"1740",6599
"1741",7305
"1742",7535
"1743",7950
"1744",7976
"1745",7393
"1746",6929
"1747",6967
"1748",7567
"1749",7723
"1750",7395
"1751",7491
"1752",7417
"1753",7479
"1754",7521
"1755",6749
"1756",6664
"1757",7954
"1758",6541
"1759",6908
"1760",7781
"1761",7347
"1762",3060
"1763",7064
"1764",7094
"1765",7410
"1766",7400
"1767",7469
"1768",7273
"1769",7710
"1770",7321
"1771",7730
"1772",7530
"1773",7425
"1774",7156
"1775",7321
"1776",7703
"1777",7598
"1778",7307
"1779",7616
"1780",7422
"1781",7134
"1782",6738
"1783",7616
"1784",7422
"1785",7214
"1786",7470
"1787",7567
"1788",7291
"1789",7344
"1790",7606
"1791",7608
"1792",7407
"1793",7326
"1794",7425
"1795",7623
"1796",7746
"1797",7383
"1798",6946
"1799",6970
"1800",7529
"1801",5879
"1802",7655
"1803",7878
"1804",7050
"1805",7642
"1806",7405
"1807",7507
"1808",7185
"1809",7080
"1810",7457
"1811",7835
"1812",7320
"1813",7452
"1814",7385
"1815",7306
"1816",8064
"1817",7806
"1818",7682
"1819",7311
"1820",6653
"1821",7462
"1822",7462
"1823",7380
"1824",7185
"1825",6909
"1826",7329
"1827",4565
"1828",6920
"1829",7613
"1830",6498
"1831",6164
"1832",7326
"1833",7334
"1834",7598
"1835",7430
"1836",7071
"1837",7061
"1838",7229
"1839",7259
"1840",7300
"1841",7161
"1842",7539
"1843",7370
"1844",7260
"1845",7232
"1846",5985
"1847",6793
"1848",7524
"1849",7014
"1850",7762
"1851",7268
"1852",7363
"1853",5074
"1854",7223
"1855",6895
"1856",7488
"1857",7160
"1858",7367
"1859",6867
"1860",8090
"1861",7503
"1862",7785
"1863",7785
"1864",7630
"1865",7855
"1866",7203
"1867",7308
"1868",6590
"1869",7365
"1870",6952
"1871",6788
"1872",7206
"1873",7508
"1874",8209
"1875",4416
"1876",6856
"1877",7003
"1878",6258
"1879",7003
"1880",7002
"1881",7568
"1882",7419
"1883",6536
"1884",7131
"1885",7180
"1886",7185
"1887",7049
"1888",7270
"1889",6768
"1890",7820
"1891",7328
"1892",8339
"1893",7713
"1894",7531
"1895",7207
"1896",7786
"1897",7270
"1898",6540
"1899",5941
"1900",7201
"1901",7319
"1902",6977
"1903",7533
"1904",7087
"1905",7495
"1906",7170
"1907",7005
"1908",6995
"1909",7143
"1910",7138
"1911",7436
"1912",6955
"1913",8367
"1914",7448
"1915",3693
"1916",7406
"1917",7412
"1918",7736
"1919",6530
"1920",7384
"1921",6307
"1922",6244
"1923",6990
"1924",7819
"1925",7078
"1926",6998
"1927",7108
"1928",6962
"1929",6093
"1930",7053
"1931",6549
"1932",6664
"1933",6992
"1934",5128
"1935",4996
"1936",5218
"1937",6930
"1938",7304
"1939",6779
"1940",7156
"1941",7559
"1942",7586
"1943",6959
"1944",7266
"1945",7046
"1946",7261
"1947",6995
"1948",6860
"1949",6952
"1950",7380
"1951",6563
"1952",7668
"1953",7008
"1954",7032
"1955",7635
"1956",7927
"1957",7241
"1958",6440
"1959",7387
"1960",7490
"1961",7077
"1962",7257
"1963",7236
"1964",7278
"1965",7299
"1966",6407
"1967",6275
"1968",6183
"1969",6048
"1970",7363
"1971",7368
"1972",7336
"1973",7013
"1974",6954
"1975",7283
"1976",6456
"1977",7603
"1978",7260
"1979",7516
"1980",8027
"1981",7185
"1982",7227
"1983",7087
"1984",7411
"1985",7608
"1986",5861
"1987",5802
"1988",7237
"1989",5957
"1990",4928
"1991",5797
"1992",6819
"1993",5253
"1994",6647
"1995",5486
"1996",6754
"1997",7043
"1998",4591
"1999",7053
"2000",7494
"2001",7887
"2002",7895
"2003",7218
"2004",4992
"2005",6591
"2006",7554
"2007",6917
"2008",6501
"2009",6375
"2010",5697
"2011",6531
"2012",6678
"2013",6165
"2014",7446
"2015",6626
"2016",7026
"2017",7018
"2018",6654
"2019",6914
"2020",6244
"2021",6754
"2022",6327
