"","mydata"
"1368",4186
"1369",4364
"1370",4410
"1371",4033
"1372",3765
"1373",4348
"1374",4005
"1375",3759
"1376",3989
"1377",4528
"1378",4096
"1379",4271
"1380",4309
"1381",4376
"1382",4025
"1383",4232
"1384",4512
"1385",4921
"1386",4997
"1387",4569
"1388",4311
"1389",3995
"1390",4101
"1391",4438
"1392",4145
"1393",4191
"1394",4336
"1395",3423
"1396",4465
"1397",4503
"1398",4723
"1399",4381
"1400",4292
"1401",4454
"1402",4392
"1403",4336
"1404",4091
"1405",4566
"1406",4222
"1407",4219
"1408",4835
"1409",4056
"1410",4257
"1411",4337
"1412",4274
"1413",4712
"1414",4047
"1415",3821
"1416",4674
"1417",4298
"1418",4461
"1419",4169
"1420",4101
"1421",3902
"1422",3960
"1423",4297
"1424",4292
"1425",4527
"1426",4223
"1427",4333
"1428",3750
"1429",3993
"1430",4207
"1431",4027
"1432",4119
"1433",4646
"1434",4214
"1435",3913
"1436",4140
"1437",4112
"1438",4651
"1439",4259
"1440",4421
"1441",4566
"1442",4435
"1443",4252
"1444",4182
"1445",4301
"1446",4011
"1447",4053
"1448",4201
"1449",4184
"1450",4025
"1451",4241
"1452",4051
"1453",4218
"1454",3939
"1455",4125
"1456",4023
"1457",4114
"1458",4328
"1459",4567
"1460",4057
"1461",4224
"1462",3843
"1463",3926
"1464",4253
"1465",4002
"1466",3814
"1467",4616
"1468",4199
"1469",3814
"1470",4245
"1471",4199
"1472",4242
"1473",4043
"1474",4481
"1475",4707
"1476",4018
"1477",4564
"1478",4707
"1479",4187
"1480",4380
"1481",4510
"1482",4775
"1483",4231
"1484",4604
"1485",3813
"1486",4454
"1487",4472
"1488",4268
"1489",4328
"1490",3586
"1491",3803
"1492",4184
"1493",4410
"1494",4099
"1495",4430
"1496",4292
"1497",4537
"1498",4790
"1499",4002
"1500",3766
"1501",4035
"1502",4814
"1503",4092
"1504",4334
"1505",4203
"1506",4212
"1507",4513
"1508",4091
"1509",3887
"1510",4091
"1511",4081
"1512",4321
"1513",4676
"1514",4591
"1515",4244
"1516",3710
"1517",3806
"1518",4081
"1519",4582
"1520",4289
"1521",4404
"1522",4261
"1523",4395
"1524",4046
"1525",4361
"1526",4133
"1527",3794
"1528",4145
"1529",4423
"1530",4520
